,simulation_id,template_id,count
0,4,cause_1,300
1,4,cause_2,300
2,4,cause_3,300
3,4,cause_4,300
4,4,cause_5,300
5,4,counterfactual_0,300
6,4,counterfactual_1,300
7,4,counterfactual_2,300
8,4,counterfactual_3,300
9,4,counterfactual_4,300
10,4,counterfactual_5,300
11,4,counterfactual_6,300
12,4,counterfactual_7,300
13,4,counterfactual_8,300
14,4,descriptive_0,300
15,4,descriptive_1,300
16,4,descriptive_2,300
17,4,descriptive_3,300
18,4,descriptive_4,300
19,4,descriptive_5,300
20,4,descriptive_6,300
21,4,descriptive_7,300
22,4,descriptive_8,300
23,4,descriptive_9,300
24,4,descriptive_10,300
25,4,descriptive_11,300
26,4,descriptive_12,300
27,4,descriptive_13,300
28,4,descriptive_14,300
29,4,descriptive_15,300
30,4,descriptive_16,300
31,4,descriptive_17,300
32,4,descriptive_20,300
33,4,descriptive_21,300
34,4,descriptive_22,300
35,4,descriptive_23,300
36,4,descriptive_24,300
37,4,descriptive_25,300
38,4,descriptive_26,300
39,4,descriptive_27,300
40,4,descriptive_30,300
41,4,descriptive_31,300
42,4,descriptive_32,300
43,4,descriptive_33,300
44,4,descriptive_36,300
45,4,descriptive_37,300
46,4,enable_1,300
47,4,enable_2,300
48,4,enable_3,300
49,4,enable_4,300
50,4,enable_5,300
51,4,prevent_0,300
52,4,prevent_2,232
53,4,prevent_3,300
54,4,prevent_4,300
55,4,prevent_5,300
56,4,prevent_1,143
57,2,cause_0,247
58,2,cause_2,210
59,2,cause_3,300
60,2,cause_4,300
61,2,cause_5,300
62,2,counterfactual_0,300
63,2,counterfactual_1,300
64,2,counterfactual_2,300
65,2,counterfactual_3,300
66,2,counterfactual_4,300
67,2,counterfactual_5,300
68,2,counterfactual_6,300
69,2,counterfactual_7,300
70,2,counterfactual_8,300
71,2,descriptive_0,300
72,2,descriptive_1,300
73,2,descriptive_2,300
74,2,descriptive_3,300
75,2,descriptive_4,300
76,2,descriptive_5,300
77,2,descriptive_6,300
78,2,descriptive_7,300
79,2,descriptive_8,300
80,2,descriptive_9,300
81,2,descriptive_10,300
82,2,descriptive_11,300
83,2,descriptive_12,300
84,2,descriptive_13,300
85,2,descriptive_14,300
86,2,descriptive_15,300
87,2,descriptive_18,247
88,2,descriptive_19,247
89,2,descriptive_20,210
90,2,descriptive_21,210
91,2,descriptive_22,300
92,2,descriptive_23,300
93,2,descriptive_24,300
94,2,descriptive_25,300
95,2,descriptive_28,247
96,2,descriptive_29,247
97,2,descriptive_30,210
98,2,descriptive_31,210
99,2,descriptive_34,247
100,2,descriptive_35,247
101,2,descriptive_36,210
102,2,descriptive_37,210
103,2,enable_0,247
104,2,enable_2,210
105,2,enable_3,300
106,2,enable_4,300
107,2,enable_5,300
108,2,prevent_0,300
109,2,prevent_1,300
110,2,prevent_2,300
111,2,prevent_3,300
112,2,prevent_4,300
113,2,prevent_5,300
114,2,cause_1,202
115,2,descriptive_16,202
116,2,descriptive_17,202
117,2,descriptive_26,202
118,2,descriptive_27,202
119,2,descriptive_32,202
120,2,descriptive_33,202
121,2,enable_1,202
122,3,cause_0,36
123,3,cause_1,243
124,3,cause_2,263
125,3,cause_3,300
126,3,cause_4,300
127,3,cause_5,300
128,3,counterfactual_0,300
129,3,counterfactual_1,300
130,3,counterfactual_2,300
131,3,counterfactual_3,300
132,3,counterfactual_4,300
133,3,counterfactual_5,300
134,3,counterfactual_6,300
135,3,counterfactual_7,300
136,3,counterfactual_8,300
137,3,descriptive_0,300
138,3,descriptive_1,300
139,3,descriptive_2,300
140,3,descriptive_3,300
141,3,descriptive_4,300
142,3,descriptive_5,300
143,3,descriptive_6,300
144,3,descriptive_7,300
145,3,descriptive_8,300
146,3,descriptive_9,300
147,3,descriptive_10,300
148,3,descriptive_11,300
149,3,descriptive_12,300
150,3,descriptive_13,300
151,3,descriptive_14,300
152,3,descriptive_15,300
153,3,descriptive_16,243
154,3,descriptive_17,243
155,3,descriptive_18,36
156,3,descriptive_19,36
157,3,descriptive_20,263
158,3,descriptive_21,263
159,3,descriptive_22,295
160,3,descriptive_23,295
161,3,descriptive_24,295
162,3,descriptive_25,295
163,3,descriptive_26,243
164,3,descriptive_27,243
165,3,descriptive_28,36
166,3,descriptive_29,36
167,3,descriptive_30,263
168,3,descriptive_31,263
169,3,descriptive_32,243
170,3,descriptive_33,243
171,3,descriptive_34,36
172,3,descriptive_35,36
173,3,descriptive_36,263
174,3,descriptive_37,263
175,3,enable_0,36
176,3,enable_1,243
177,3,enable_2,263
178,3,enable_3,300
179,3,enable_4,300
180,3,enable_5,300
181,3,prevent_0,300
182,3,prevent_1,269
183,3,prevent_2,282
184,3,prevent_3,300
185,3,prevent_4,300
186,3,prevent_5,300
187,6,cause_1,214
188,6,cause_2,223
189,6,cause_3,300
190,6,cause_4,300
191,6,cause_5,300
192,6,counterfactual_0,300
193,6,counterfactual_1,300
194,6,counterfactual_2,300
195,6,counterfactual_3,300
196,6,counterfactual_4,300
197,6,counterfactual_5,300
198,6,counterfactual_6,300
199,6,counterfactual_7,300
200,6,counterfactual_8,300
201,6,descriptive_0,300
202,6,descriptive_1,300
203,6,descriptive_2,300
204,6,descriptive_3,300
205,6,descriptive_4,300
206,6,descriptive_5,300
207,6,descriptive_6,300
208,6,descriptive_7,300
209,6,descriptive_8,300
210,6,descriptive_9,300
211,6,descriptive_10,300
212,6,descriptive_11,300
213,6,descriptive_12,300
214,6,descriptive_13,300
215,6,descriptive_14,300
216,6,descriptive_15,300
217,6,descriptive_16,214
218,6,descriptive_17,214
219,6,descriptive_20,223
220,6,descriptive_21,223
221,6,descriptive_26,214
222,6,descriptive_27,214
223,6,descriptive_30,223
224,6,descriptive_31,223
225,6,descriptive_32,214
226,6,descriptive_33,214
227,6,descriptive_36,223
228,6,descriptive_37,223
229,6,enable_1,214
230,6,enable_2,223
231,6,enable_3,300
232,6,enable_4,300
233,6,enable_5,300
234,6,prevent_0,300
235,6,prevent_1,297
236,6,prevent_2,297
237,6,prevent_3,300
238,6,prevent_4,300
239,6,prevent_5,300
240,6,descriptive_22,248
241,6,descriptive_23,248
242,6,descriptive_24,248
243,6,descriptive_25,248
244,6,cause_0,42
245,6,descriptive_18,42
246,6,descriptive_19,42
247,6,descriptive_28,42
248,6,descriptive_29,42
249,6,descriptive_34,42
250,6,descriptive_35,42
251,6,enable_0,42
252,10,cause_0,218
253,10,cause_1,296
254,10,cause_2,300
255,10,cause_3,300
256,10,cause_4,300
257,10,cause_5,300
258,10,counterfactual_0,300
259,10,counterfactual_1,300
260,10,counterfactual_2,300
261,10,counterfactual_3,300
262,10,counterfactual_4,300
263,10,counterfactual_5,300
264,10,counterfactual_6,300
265,10,counterfactual_7,300
266,10,counterfactual_8,300
267,10,descriptive_0,300
268,10,descriptive_1,300
269,10,descriptive_2,300
270,10,descriptive_3,300
271,10,descriptive_4,300
272,10,descriptive_5,300
273,10,descriptive_6,300
274,10,descriptive_7,300
275,10,descriptive_8,300
276,10,descriptive_9,300
277,10,descriptive_10,300
278,10,descriptive_11,300
279,10,descriptive_12,300
280,10,descriptive_13,300
281,10,descriptive_14,300
282,10,descriptive_15,300
283,10,descriptive_16,296
284,10,descriptive_17,296
285,10,descriptive_18,218
286,10,descriptive_19,218
287,10,descriptive_20,300
288,10,descriptive_21,300
289,10,descriptive_26,296
290,10,descriptive_27,296
291,10,descriptive_28,218
292,10,descriptive_29,218
293,10,descriptive_30,300
294,10,descriptive_31,300
295,10,descriptive_32,296
296,10,descriptive_33,296
297,10,descriptive_34,218
298,10,descriptive_35,218
299,10,descriptive_36,300
300,10,descriptive_37,300
301,10,enable_0,218
302,10,enable_1,296
303,10,enable_2,300
304,10,enable_3,300
305,10,enable_4,300
306,10,enable_5,300
307,10,prevent_0,297
308,10,prevent_1,282
309,10,prevent_2,224
310,10,prevent_3,300
311,10,prevent_4,300
312,10,prevent_5,300
313,10,descriptive_22,152
314,10,descriptive_23,152
315,10,descriptive_24,152
316,10,descriptive_25,152
317,5,cause_0,121
318,5,cause_1,135
319,5,cause_2,212
320,5,cause_3,300
321,5,cause_4,300
322,5,cause_5,300
323,5,counterfactual_0,300
324,5,counterfactual_1,300
325,5,counterfactual_2,300
326,5,counterfactual_3,300
327,5,counterfactual_4,300
328,5,counterfactual_5,300
329,5,counterfactual_6,300
330,5,counterfactual_7,300
331,5,counterfactual_8,300
332,5,descriptive_0,300
333,5,descriptive_1,300
334,5,descriptive_2,300
335,5,descriptive_3,300
336,5,descriptive_4,300
337,5,descriptive_5,300
338,5,descriptive_6,300
339,5,descriptive_7,300
340,5,descriptive_8,300
341,5,descriptive_9,300
342,5,descriptive_10,300
343,5,descriptive_11,300
344,5,descriptive_12,300
345,5,descriptive_13,300
346,5,descriptive_14,300
347,5,descriptive_15,300
348,5,descriptive_16,135
349,5,descriptive_17,135
350,5,descriptive_18,121
351,5,descriptive_19,121
352,5,descriptive_20,212
353,5,descriptive_21,212
354,5,descriptive_26,135
355,5,descriptive_27,135
356,5,descriptive_28,121
357,5,descriptive_29,121
358,5,descriptive_30,212
359,5,descriptive_31,212
360,5,descriptive_32,135
361,5,descriptive_33,135
362,5,descriptive_34,121
363,5,descriptive_35,121
364,5,descriptive_36,212
365,5,descriptive_37,212
366,5,enable_0,121
367,5,enable_1,135
368,5,enable_2,212
369,5,enable_3,300
370,5,enable_4,300
371,5,enable_5,300
372,5,prevent_0,300
373,5,prevent_1,299
374,5,prevent_2,299
375,5,prevent_3,300
376,5,prevent_4,300
377,5,prevent_5,300
378,5,descriptive_22,173
379,5,descriptive_23,173
380,5,descriptive_24,173
381,5,descriptive_25,173
382,7,cause_0,178
383,7,cause_1,244
384,7,cause_2,275
385,7,cause_3,300
386,7,cause_4,300
387,7,cause_5,300
388,7,counterfactual_0,300
389,7,counterfactual_1,300
390,7,counterfactual_2,300
391,7,counterfactual_3,300
392,7,counterfactual_4,300
393,7,counterfactual_5,300
394,7,counterfactual_6,300
395,7,counterfactual_7,300
396,7,counterfactual_8,300
397,7,descriptive_0,300
398,7,descriptive_1,300
399,7,descriptive_2,300
400,7,descriptive_3,300
401,7,descriptive_4,300
402,7,descriptive_5,300
403,7,descriptive_6,300
404,7,descriptive_7,300
405,7,descriptive_8,300
406,7,descriptive_9,300
407,7,descriptive_10,300
408,7,descriptive_11,300
409,7,descriptive_12,300
410,7,descriptive_13,300
411,7,descriptive_14,300
412,7,descriptive_15,300
413,7,descriptive_16,244
414,7,descriptive_17,244
415,7,descriptive_18,178
416,7,descriptive_19,178
417,7,descriptive_20,275
418,7,descriptive_21,275
419,7,descriptive_22,298
420,7,descriptive_23,298
421,7,descriptive_24,298
422,7,descriptive_25,298
423,7,descriptive_26,244
424,7,descriptive_27,244
425,7,descriptive_28,178
426,7,descriptive_29,178
427,7,descriptive_30,275
428,7,descriptive_31,275
429,7,descriptive_32,244
430,7,descriptive_33,244
431,7,descriptive_34,178
432,7,descriptive_35,178
433,7,descriptive_36,275
434,7,descriptive_37,275
435,7,enable_0,178
436,7,enable_1,244
437,7,enable_2,275
438,7,enable_3,300
439,7,enable_4,300
440,7,enable_5,300
441,7,prevent_0,299
442,7,prevent_1,300
443,7,prevent_2,300
444,7,prevent_3,300
445,7,prevent_4,300
446,7,prevent_5,300
447,8,cause_0,2
448,8,cause_2,127
449,8,cause_3,300
450,8,cause_4,300
451,8,cause_5,300
452,8,counterfactual_0,300
453,8,counterfactual_1,300
454,8,counterfactual_2,300
455,8,counterfactual_3,300
456,8,counterfactual_4,300
457,8,counterfactual_5,300
458,8,counterfactual_6,300
459,8,counterfactual_7,300
460,8,counterfactual_8,300
461,8,descriptive_0,300
462,8,descriptive_1,300
463,8,descriptive_2,300
464,8,descriptive_3,300
465,8,descriptive_4,300
466,8,descriptive_5,300
467,8,descriptive_6,300
468,8,descriptive_7,300
469,8,descriptive_8,300
470,8,descriptive_9,300
471,8,descriptive_10,300
472,8,descriptive_11,300
473,8,descriptive_12,300
474,8,descriptive_13,300
475,8,descriptive_14,300
476,8,descriptive_15,300
477,8,descriptive_18,2
478,8,descriptive_19,2
479,8,descriptive_20,127
480,8,descriptive_21,127
481,8,descriptive_22,299
482,8,descriptive_23,299
483,8,descriptive_24,299
484,8,descriptive_25,299
485,8,descriptive_28,2
486,8,descriptive_29,2
487,8,descriptive_30,127
488,8,descriptive_31,127
489,8,descriptive_34,2
490,8,descriptive_35,2
491,8,descriptive_36,127
492,8,descriptive_37,127
493,8,enable_0,2
494,8,enable_2,127
495,8,enable_3,300
496,8,enable_4,300
497,8,enable_5,300
498,8,prevent_0,300
499,8,prevent_1,300
500,8,prevent_2,300
501,8,prevent_3,300
502,8,prevent_4,300
503,8,prevent_5,300
504,8,cause_1,110
505,8,descriptive_16,110
506,8,descriptive_17,110
507,8,descriptive_26,110
508,8,descriptive_27,110
509,8,descriptive_32,110
510,8,descriptive_33,110
511,8,enable_1,110
512,9,cause_1,149
513,9,cause_2,174
514,9,cause_3,300
515,9,cause_4,300
516,9,cause_5,300
517,9,counterfactual_0,300
518,9,counterfactual_1,300
519,9,counterfactual_2,300
520,9,counterfactual_3,300
521,9,counterfactual_4,300
522,9,counterfactual_5,300
523,9,counterfactual_6,300
524,9,counterfactual_7,300
525,9,counterfactual_8,300
526,9,descriptive_0,300
527,9,descriptive_1,300
528,9,descriptive_2,300
529,9,descriptive_3,300
530,9,descriptive_4,300
531,9,descriptive_5,300
532,9,descriptive_6,300
533,9,descriptive_7,300
534,9,descriptive_8,300
535,9,descriptive_9,300
536,9,descriptive_10,300
537,9,descriptive_11,300
538,9,descriptive_12,300
539,9,descriptive_13,300
540,9,descriptive_14,300
541,9,descriptive_15,300
542,9,descriptive_16,149
543,9,descriptive_17,149
544,9,descriptive_20,174
545,9,descriptive_21,174
546,9,descriptive_22,269
547,9,descriptive_23,269
548,9,descriptive_24,269
549,9,descriptive_25,269
550,9,descriptive_26,149
551,9,descriptive_27,149
552,9,descriptive_30,174
553,9,descriptive_31,174
554,9,descriptive_32,149
555,9,descriptive_33,149
556,9,descriptive_36,174
557,9,descriptive_37,174
558,9,enable_1,149
559,9,enable_2,174
560,9,enable_3,300
561,9,enable_4,300
562,9,enable_5,300
563,9,prevent_0,299
564,9,prevent_1,299
565,9,prevent_2,292
566,9,prevent_3,300
567,9,prevent_4,300
568,9,prevent_5,300
569,9,cause_0,77
570,9,descriptive_18,77
571,9,descriptive_19,77
572,9,descriptive_28,77
573,9,descriptive_29,77
574,9,descriptive_34,77
575,9,descriptive_35,77
576,9,enable_0,77
577,1,cause_0,226
578,1,cause_1,270
579,1,cause_2,282
580,1,cause_3,300
581,1,cause_4,300
582,1,cause_5,300
583,1,counterfactual_0,300
584,1,counterfactual_1,300
585,1,counterfactual_2,300
586,1,counterfactual_3,300
587,1,counterfactual_4,300
588,1,counterfactual_5,300
589,1,counterfactual_6,300
590,1,counterfactual_7,300
591,1,counterfactual_8,300
592,1,descriptive_0,300
593,1,descriptive_1,300
594,1,descriptive_2,300
595,1,descriptive_3,300
596,1,descriptive_4,300
597,1,descriptive_5,300
598,1,descriptive_6,300
599,1,descriptive_7,300
600,1,descriptive_8,300
601,1,descriptive_9,300
602,1,descriptive_10,300
603,1,descriptive_11,300
604,1,descriptive_12,300
605,1,descriptive_13,300
606,1,descriptive_14,300
607,1,descriptive_15,300
608,1,descriptive_16,270
609,1,descriptive_17,270
610,1,descriptive_18,226
611,1,descriptive_19,226
612,1,descriptive_20,282
613,1,descriptive_21,282
614,1,descriptive_22,300
615,1,descriptive_23,300
616,1,descriptive_24,300
617,1,descriptive_25,300
618,1,descriptive_26,270
619,1,descriptive_27,270
620,1,descriptive_28,226
621,1,descriptive_29,226
622,1,descriptive_30,282
623,1,descriptive_31,282
624,1,descriptive_32,270
625,1,descriptive_33,270
626,1,descriptive_34,226
627,1,descriptive_35,226
628,1,descriptive_36,282
629,1,descriptive_37,282
630,1,enable_0,226
631,1,enable_1,270
632,1,enable_2,282
633,1,enable_3,300
634,1,enable_4,300
635,1,enable_5,300
636,1,prevent_0,300
637,1,prevent_1,299
638,1,prevent_2,299
639,1,prevent_3,300
640,1,prevent_4,300
641,1,prevent_5,300
