,simulation_id,template_id,count
0,8,cause_0,2
1,8,cause_3,2
2,8,counterfactual_1,2
3,8,counterfactual_4,4
4,8,counterfactual_7,4
5,8,counterfactual_8,100
6,8,descriptive_8,4
7,8,descriptive_11,4
8,8,descriptive_22,200
9,8,descriptive_23,216
10,8,descriptive_24,186
11,8,descriptive_25,207
12,8,descriptive_34,2
13,8,counterfactual_0,40
14,8,descriptive_6,118
15,8,counterfactual_6,92
16,8,cause_1,54
17,8,cause_4,50
18,8,descriptive_4,64
19,8,descriptive_33,10
20,8,descriptive_36,88
21,8,enable_2,8
22,8,descriptive_13,40
23,8,descriptive_16,18
24,8,descriptive_26,14
25,8,descriptive_31,58
26,8,descriptive_32,74
27,8,counterfactual_2,46
28,8,descriptive_17,10
29,8,descriptive_30,24
30,8,descriptive_5,30
31,8,descriptive_15,30
32,8,descriptive_27,48
33,8,descriptive_37,14
34,8,enable_5,14
35,8,descriptive_3,15
36,8,cause_5,42
37,8,descriptive_7,27
38,8,descriptive_20,18
39,8,descriptive_21,14
40,8,prevent_5,10
41,8,cause_2,54
42,8,counterfactual_5,18
43,8,descriptive_2,8
44,8,descriptive_10,2
45,8,descriptive_14,6
46,8,prevent_4,6
47,8,prevent_0,2
48,8,descriptive_1,9
49,8,enable_1,18
50,8,prevent_2,2
51,8,enable_4,14
52,8,prevent_3,2
53,8,descriptive_12,3
54,8,descriptive_0,4
55,8,counterfactual_3,3
56,8,prevent_1,2
57,2,counterfactual_1,96
58,2,counterfactual_7,266
59,2,counterfactual_8,262
60,2,descriptive_3,8
61,2,descriptive_23,224
62,2,descriptive_28,206
63,2,descriptive_29,52
64,2,descriptive_30,166
65,2,descriptive_31,116
66,2,descriptive_34,180
67,2,descriptive_35,2
68,2,descriptive_37,12
69,2,counterfactual_0,92
70,2,counterfactual_6,256
71,2,descriptive_22,240
72,2,prevent_4,72
73,2,cause_1,92
74,2,counterfactual_2,92
75,2,counterfactual_5,20
76,2,descriptive_13,3
77,2,descriptive_24,150
78,2,descriptive_25,126
79,2,descriptive_26,194
80,2,descriptive_27,104
81,2,descriptive_36,90
82,2,enable_1,46
83,2,descriptive_0,85
84,2,descriptive_5,110
85,2,descriptive_21,24
86,2,descriptive_32,76
87,2,enable_2,52
88,2,cause_2,90
89,2,enable_5,96
90,2,cause_0,64
91,2,cause_4,45
92,2,descriptive_6,36
93,2,cause_5,4
94,2,prevent_2,18
95,2,descriptive_1,9
96,2,descriptive_14,72
97,2,prevent_5,4
98,2,enable_0,82
99,2,descriptive_9,9
100,2,prevent_1,14
101,2,prevent_0,38
102,2,descriptive_11,18
103,2,descriptive_2,6
104,2,descriptive_15,6
105,2,counterfactual_3,25
106,2,descriptive_33,8
107,2,counterfactual_4,6
108,2,descriptive_4,5
109,2,prevent_3,18
110,2,cause_3,4
111,2,descriptive_7,6
112,2,descriptive_16,5
113,2,descriptive_17,24
114,2,descriptive_10,10
115,2,descriptive_8,10
116,2,descriptive_20,5
117,2,descriptive_18,5
118,2,enable_4,3
119,2,descriptive_12,5
120,2,enable_3,6
121,2,descriptive_19,5
122,7,counterfactual_0,140
123,7,counterfactual_1,76
124,7,counterfactual_3,195
125,7,counterfactual_6,290
126,7,counterfactual_8,242
127,7,descriptive_7,148
128,7,descriptive_21,51
129,7,descriptive_22,256
130,7,descriptive_23,256
131,7,descriptive_24,201
132,7,descriptive_25,237
133,7,descriptive_26,222
134,7,descriptive_30,212
135,7,descriptive_32,170
136,7,descriptive_35,178
137,7,descriptive_36,236
138,7,enable_0,104
139,7,enable_3,76
140,7,cause_0,50
141,7,cause_1,102
142,7,cause_2,110
143,7,counterfactual_5,177
144,7,counterfactual_7,212
145,7,descriptive_34,84
146,7,descriptive_5,3
147,7,descriptive_12,90
148,7,counterfactual_2,150
149,7,descriptive_15,100
150,7,descriptive_10,21
151,7,descriptive_20,87
152,7,descriptive_27,18
153,7,descriptive_6,20
154,7,cause_4,8
155,7,descriptive_14,24
156,7,descriptive_31,24
157,7,descriptive_1,12
158,7,descriptive_16,4
159,7,descriptive_8,12
160,7,descriptive_17,48
161,7,descriptive_11,20
162,7,prevent_3,20
163,7,descriptive_28,22
164,7,descriptive_0,12
165,7,cause_5,8
166,7,prevent_0,2
167,7,cause_3,6
168,7,descriptive_2,8
169,7,descriptive_9,3
170,7,descriptive_29,8
171,7,descriptive_13,9
172,7,descriptive_4,4
173,7,descriptive_19,3
174,7,counterfactual_4,4
175,7,descriptive_3,5
176,7,descriptive_18,6
177,7,descriptive_37,4
178,7,descriptive_33,2
179,4,counterfactual_0,218
180,4,descriptive_3,125
181,4,descriptive_22,184
182,4,descriptive_24,300
183,4,descriptive_25,300
184,4,descriptive_27,290
185,4,descriptive_30,108
186,4,descriptive_31,222
187,4,descriptive_36,74
188,4,prevent_2,142
189,4,counterfactual_2,254
190,4,descriptive_6,35
191,4,descriptive_32,22
192,4,descriptive_37,138
193,4,counterfactual_3,24
194,4,descriptive_17,160
195,4,descriptive_23,240
196,4,counterfactual_5,45
197,4,descriptive_4,24
198,4,descriptive_7,60
199,4,descriptive_12,64
200,4,descriptive_20,140
201,4,prevent_1,92
202,4,prevent_4,12
203,4,prevent_5,27
204,4,counterfactual_8,70
205,4,descriptive_16,148
206,4,descriptive_0,20
207,4,descriptive_21,64
208,4,descriptive_33,140
209,4,counterfactual_6,28
210,4,descriptive_26,42
211,4,enable_2,24
212,4,descriptive_5,42
213,4,descriptive_13,27
214,4,enable_4,12
215,4,descriptive_14,15
216,4,descriptive_2,5
217,4,enable_1,8
218,4,descriptive_1,6
219,4,descriptive_15,8
220,4,enable_5,3
221,10,counterfactual_0,222
222,10,counterfactual_1,106
223,10,counterfactual_2,248
224,10,counterfactual_3,111
225,10,counterfactual_5,24
226,10,counterfactual_6,226
227,10,descriptive_15,132
228,10,descriptive_30,228
229,10,descriptive_32,278
230,10,descriptive_35,64
231,10,descriptive_36,254
232,10,counterfactual_7,152
233,10,counterfactual_8,168
234,10,descriptive_5,18
235,10,descriptive_21,57
236,10,descriptive_26,268
237,10,descriptive_31,66
238,10,descriptive_33,42
239,10,descriptive_37,72
240,10,counterfactual_4,36
241,10,descriptive_16,42
242,10,descriptive_20,126
243,10,descriptive_34,126
244,10,descriptive_1,20
245,10,descriptive_22,96
246,10,descriptive_23,72
247,10,descriptive_24,129
248,10,descriptive_25,144
249,10,descriptive_27,42
250,10,descriptive_29,20
251,10,descriptive_0,4
252,10,descriptive_13,12
253,10,descriptive_11,12
254,10,cause_3,4
255,10,descriptive_14,60
256,10,descriptive_7,16
257,10,descriptive_10,15
258,10,descriptive_12,4
259,10,descriptive_6,16
260,10,descriptive_19,6
261,10,cause_0,8
262,10,descriptive_8,15
263,10,descriptive_17,21
264,10,descriptive_9,3
265,10,descriptive_3,4
266,10,descriptive_28,8
267,10,cause_2,4
268,10,descriptive_18,3
269,10,cause_4,2
270,10,descriptive_4,4
271,10,cause_5,4
272,10,descriptive_2,4
273,1,counterfactual_1,92
274,1,counterfactual_2,188
275,1,counterfactual_6,234
276,1,counterfactual_7,264
277,1,counterfactual_8,222
278,1,descriptive_5,6
279,1,descriptive_13,106
280,1,descriptive_22,216
281,1,descriptive_23,248
282,1,descriptive_24,261
283,1,descriptive_25,282
284,1,descriptive_26,268
285,1,descriptive_30,254
286,1,descriptive_34,186
287,1,cause_1,74
288,1,cause_2,78
289,1,cause_4,112
290,1,counterfactual_0,136
291,1,descriptive_27,10
292,1,descriptive_32,120
293,1,descriptive_36,140
294,1,prevent_1,36
295,1,prevent_2,64
296,1,cause_5,118
297,1,enable_0,92
298,1,prevent_5,146
299,1,enable_4,38
300,1,counterfactual_3,5
301,1,descriptive_21,45
302,1,enable_2,20
303,1,descriptive_1,68
304,1,descriptive_8,21
305,1,descriptive_28,62
306,1,counterfactual_4,10
307,1,descriptive_6,20
308,1,descriptive_14,40
309,1,descriptive_20,24
310,1,enable_1,24
311,1,prevent_3,9
312,1,enable_5,46
313,1,descriptive_11,15
314,1,enable_3,9
315,1,prevent_4,3
316,1,cause_0,14
317,1,descriptive_29,42
318,1,descriptive_31,10
319,1,descriptive_33,4
320,1,descriptive_37,10
321,1,descriptive_19,4
322,1,descriptive_7,6
323,1,descriptive_3,6
324,1,descriptive_2,16
325,1,descriptive_12,16
326,1,descriptive_15,6
327,1,descriptive_16,8
328,1,prevent_0,28
329,1,descriptive_17,8
330,1,counterfactual_5,5
331,1,descriptive_0,5
332,1,descriptive_4,5
333,1,descriptive_18,4
334,1,cause_3,6
335,1,descriptive_9,6
336,1,descriptive_10,4
337,5,counterfactual_0,78
338,5,counterfactual_1,56
339,5,counterfactual_2,150
340,5,counterfactual_4,33
341,5,counterfactual_5,123
342,5,counterfactual_7,128
343,5,descriptive_12,15
344,5,descriptive_17,34
345,5,descriptive_31,114
346,5,descriptive_32,66
347,5,descriptive_34,28
348,5,descriptive_35,100
349,5,descriptive_37,162
350,5,counterfactual_6,106
351,5,counterfactual_8,222
352,5,descriptive_22,136
353,5,descriptive_23,144
354,5,descriptive_24,78
355,5,prevent_5,14
356,5,descriptive_36,98
357,5,descriptive_5,40
358,5,descriptive_14,84
359,5,descriptive_20,114
360,5,descriptive_21,98
361,5,descriptive_26,66
362,5,descriptive_27,50
363,5,descriptive_30,94
364,5,descriptive_33,78
365,5,descriptive_11,84
366,5,descriptive_6,24
367,5,cause_1,8
368,5,cause_2,10
369,5,cause_4,4
370,5,cause_5,10
371,5,descriptive_2,42
372,5,descriptive_25,93
373,5,prevent_2,18
374,5,prevent_4,4
375,5,descriptive_18,32
376,5,descriptive_3,20
377,5,descriptive_9,38
378,5,descriptive_28,16
379,5,descriptive_29,78
380,5,prevent_0,18
381,5,counterfactual_3,60
382,5,descriptive_0,30
383,5,descriptive_10,24
384,5,prevent_1,6
385,5,enable_1,2
386,5,prevent_3,18
387,5,descriptive_19,24
388,5,descriptive_7,4
389,5,descriptive_8,6
390,5,enable_2,2
391,5,enable_5,2
392,5,descriptive_15,4
393,5,cause_3,10
394,5,descriptive_16,6
395,5,cause_0,10
396,5,descriptive_13,6
397,5,descriptive_4,9
398,5,enable_4,4
399,5,descriptive_1,3
400,3,cause_1,24
401,3,counterfactual_0,188
402,3,counterfactual_2,210
403,3,counterfactual_3,231
404,3,counterfactual_4,38
405,3,counterfactual_6,222
406,3,counterfactual_8,206
407,3,descriptive_10,26
408,3,descriptive_11,72
409,3,descriptive_22,208
410,3,descriptive_23,224
411,3,descriptive_26,198
412,3,descriptive_28,36
413,3,descriptive_31,156
414,3,descriptive_32,234
415,3,descriptive_36,214
416,3,enable_0,36
417,3,cause_4,36
418,3,cause_5,42
419,3,counterfactual_5,183
420,3,prevent_1,100
421,3,descriptive_8,22
422,3,descriptive_15,72
423,3,descriptive_25,90
424,3,descriptive_27,158
425,3,descriptive_30,200
426,3,enable_2,26
427,3,prevent_2,114
428,3,cause_3,2
429,3,counterfactual_7,30
430,3,descriptive_24,96
431,3,descriptive_34,10
432,3,enable_1,18
433,3,enable_5,40
434,3,descriptive_7,124
435,3,descriptive_13,3
436,3,descriptive_2,24
437,3,descriptive_3,124
438,3,descriptive_0,52
439,3,descriptive_14,24
440,3,descriptive_6,24
441,3,cause_2,28
442,3,descriptive_33,46
443,3,descriptive_37,48
444,3,enable_4,22
445,3,descriptive_17,42
446,3,descriptive_5,9
447,3,enable_3,14
448,3,counterfactual_1,12
449,3,descriptive_4,16
450,3,descriptive_16,36
451,3,descriptive_20,24
452,3,prevent_4,6
453,3,descriptive_29,4
454,3,prevent_3,4
455,3,cause_0,4
456,3,descriptive_21,9
457,3,descriptive_9,4
458,3,descriptive_35,4
459,3,descriptive_1,3
460,3,prevent_5,6
461,3,descriptive_12,4
462,9,cause_1,70
463,9,counterfactual_1,56
464,9,counterfactual_2,118
465,9,counterfactual_3,12
466,9,counterfactual_5,12
467,9,counterfactual_6,212
468,9,counterfactual_7,192
469,9,counterfactual_8,268
470,9,descriptive_3,130
471,9,descriptive_15,40
472,9,descriptive_20,16
473,9,descriptive_23,176
474,9,descriptive_25,96
475,9,descriptive_26,86
476,9,descriptive_30,120
477,9,descriptive_32,112
478,9,descriptive_36,142
479,9,enable_2,42
480,9,prevent_0,58
481,9,prevent_4,40
482,9,cause_2,72
483,9,counterfactual_0,88
484,9,descriptive_13,52
485,9,prevent_1,28
486,9,prevent_5,66
487,9,cause_3,44
488,9,descriptive_8,44
489,9,descriptive_17,27
490,9,descriptive_19,40
491,9,descriptive_28,20
492,9,descriptive_34,64
493,9,enable_5,6
494,9,descriptive_24,60
495,9,descriptive_10,12
496,9,prevent_2,34
497,9,enable_1,54
498,9,descriptive_22,136
499,9,descriptive_0,40
500,9,cause_0,42
501,9,counterfactual_4,20
502,9,descriptive_18,30
503,9,enable_4,3
504,9,descriptive_7,5
505,9,descriptive_9,20
506,9,descriptive_6,8
507,9,descriptive_11,4
508,9,prevent_3,6
509,9,cause_5,3
510,9,enable_0,12
511,9,descriptive_21,8
512,9,descriptive_4,4
513,9,descriptive_12,5
514,9,descriptive_5,4
515,9,descriptive_14,5
516,9,descriptive_16,4
517,9,enable_3,6
518,9,cause_4,3
519,9,descriptive_1,4
520,9,descriptive_2,5
521,9,descriptive_31,2
522,6,counterfactual_5,57
523,6,counterfactual_6,228
524,6,descriptive_26,62
525,6,descriptive_27,156
526,6,descriptive_31,180
527,6,descriptive_33,140
528,6,descriptive_37,142
529,6,counterfactual_2,120
530,6,counterfactual_8,250
531,6,descriptive_22,192
532,6,descriptive_23,184
533,6,counterfactual_0,90
534,6,descriptive_3,100
535,6,descriptive_24,84
536,6,descriptive_25,72
537,6,prevent_5,70
538,6,counterfactual_4,48
539,6,descriptive_0,16
540,6,descriptive_11,84
541,6,descriptive_17,36
542,6,descriptive_29,38
543,6,descriptive_32,98
544,6,descriptive_35,18
545,6,descriptive_36,92
546,6,enable_5,36
547,6,descriptive_9,14
548,6,enable_1,54
549,6,prevent_1,58
550,6,prevent_0,6
551,6,prevent_3,16
552,6,descriptive_6,24
553,6,descriptive_8,34
554,6,counterfactual_3,27
555,6,descriptive_30,52
556,6,enable_4,50
557,6,counterfactual_1,18
558,6,descriptive_13,68
559,6,descriptive_14,27
560,6,enable_0,34
561,6,descriptive_10,30
562,6,prevent_2,66
563,6,descriptive_2,4
564,6,enable_3,22
565,6,counterfactual_7,34
566,6,enable_2,46
567,6,descriptive_7,12
568,6,descriptive_12,4
569,6,descriptive_15,12
570,6,descriptive_20,9
571,6,descriptive_21,3
572,6,prevent_4,9
573,6,descriptive_5,6
574,6,descriptive_1,3
575,6,descriptive_34,8
576,6,descriptive_4,4
577,6,descriptive_16,3
